题目(title),网址(url),播放量(play_count),弹幕(danmu),上传时间(upload_date),作者UP主(author),UP主个人界面(author_url)
周深《Try everything》《来不及勇敢》《遇见》泪目！【B站夏日毕业歌会2021单品】,//www.bilibili.com/video/BV1ng411g7aL?from=search,143.4万,4.0万,2021-06-20,哔哩哔哩晚会,//space.bilibili.com/489412051?from=search
周深《No fear in my heart》敢不敢 这么义无反顾坠落,//www.bilibili.com/video/BV115411K7vL?from=search,54.5万,9804,2021-06-16,阿里巴巴,//space.bilibili.com/250475408?from=search
【周深】猜 猜 我 是 谁,//www.bilibili.com/video/BV1AM4y1u7nG?from=search,1.8万,107,2021-06-21,想吃荷包蛋耶,//space.bilibili.com/12564664?from=search
周深生日直播唱《左手指月》：这首歌我不太会唱哦~,//www.bilibili.com/video/BV14E411X7ro?from=search,641.3万,8.4万,2019-09-30,枫思love摄恋,//space.bilibili.com/2466222?from=search
【4K60帧】有生之年！周深演绎《unravel》BML现场圆梦【BML2020单品】,//www.bilibili.com/video/BV1za4y1a7JZ?from=search,1444.4万,17.6万,2020-07-25,BML制作指挥部,//space.bilibili.com/403748305?from=search
【歌手】周深《达拉崩吧》分饰多角！化身勇士打败恶龙救公主,//www.bilibili.com/video/BV1YZ4y1j7s5?from=search,2036.6万,45.8万,2020-03-27,腾讯综艺,//space.bilibili.com/8011552?from=search
【周深】20200929「生日直播」全程回放+歌曲单截,//www.bilibili.com/video/BV1ik4y1C7V7?from=search,138.5万,11.2万,2020-09-30,周深资讯站,//space.bilibili.com/194024972?from=search
【周深】《我们的歌》19首纯享版合集完整版,//www.bilibili.com/video/BV1Ai4y1t7SY?from=search,263.8万,2.2万,2020-04-22,Emotional_JJ,//space.bilibili.com/427368140?from=search
【歌手】【歌手当打之年】周深《Monsters》好动听，跟着乐队玩嗨啦,//www.bilibili.com/video/BV1AE411W7Ur?from=search,287.5万,5.4万,2020-03-08,腾讯综艺,//space.bilibili.com/8011552?from=search
《白蛇：缘起》周深开头的那段吟唱真的美到爆,//www.bilibili.com/video/BV1Yt411a7DR?from=search,443.0万,5806,2019-01-19,星空sky111,//space.bilibili.com/382393752?from=search
「周深𝙊𝙘𝙩𝙤𝙥𝙪𝙨」感受一下什么叫伪O实A,//www.bilibili.com/video/BV1D54y1G7Ts?from=search,1.9万,70,2021-06-20,正常执业经里人,//space.bilibili.com/454492977?from=search
【创造营2021】GET流量密码→周深撒娇大家都酥了,//www.bilibili.com/video/BV1Lr4y1P73r?from=search,127.4万,6484,2021-03-13,腾讯综艺,//space.bilibili.com/8011552?from=search
【周深】可爱互动&《遇见》清唱（夏日毕业歌会饭拍）,//www.bilibili.com/video/BV1Eb4y1o77X?from=search,3.8万,578,2021-06-21,72110344919_bili,//space.bilibili.com/403972740?from=search
周深《自己按门铃自己听》真的好惊艳啊~,//www.bilibili.com/video/BV1Vz411z7KX?from=search,182.8万,7392,2020-04-29,开心无价啦,//space.bilibili.com/41157634?from=search
【纯享】周深、萨顶顶《自由行走的花》 完整版,//www.bilibili.com/video/BV1se411x7P7?from=search,245.5万,9236,2020-04-04,Amphishen,//space.bilibili.com/491123341?from=search
【周深/卡布】20190707《血腥爱情故事》live【四机位精剪】【艺术家】,//www.bilibili.com/video/BV1C4411F7JU?from=search,131.5万,1.2万,2019-07-08,Artist0929_周深个站,//space.bilibili.com/386320103?from=search
【我们的歌】周深李克勤翻唱《神雕侠侣》主题曲《天下有情人》,//www.bilibili.com/video/BV1TJ411j7F6?from=search,359.3万,2.3万,2020-01-06,腾讯综艺,//space.bilibili.com/8011552?from=search
【周深】《关于青春》讲述追梦无畏,//www.bilibili.com/video/BV1Ki4y1b7g1?from=search,38.9万,6080,2020-05-03,周深资讯站,//space.bilibili.com/194024972?from=search
【歌手当打之年】周深再唱《大鱼》，一开口绝美声线征服全场,//www.bilibili.com/video/BV1t741187Wk?from=search,319.0万,2.8万,2020-02-08,腾讯综艺,//space.bilibili.com/8011552?from=search
【周深】《Vincent》《No Fear In My Heart》连唱 感觉耳朵在做按摩,//www.bilibili.com/video/BV1LM4y1u7qp?from=search,64.2万,1.1万,2021-06-16,周深资讯站,//space.bilibili.com/194024972?from=search
【616真心夜】周深再唱《化身孤岛的鲸》，唱跳俱佳真是《大艺术家》！,//www.bilibili.com/video/BV1eo4y1k7xM?from=search,17.4万,2917,2021-06-16,酷我音乐,//space.bilibili.com/1824939061?from=search
【我们的歌】周深李克勤翻唱《神雕侠侣》主题曲《天下有情人》,//www.bilibili.com/video/BV1TJ411j7F6?from=search,359.3万,2.3万,2020-01-06,腾讯综艺,//space.bilibili.com/8011552?from=search
周深-大艺术家 周深唱跳舞台新鲜解锁[飞机]又甜又撩，又high又稳，谁听了不说一句大艺术家！,//www.bilibili.com/video/BV1Ch411a7ta?from=search,18.1万,1879,2021-06-17,江苏卫视,//space.bilibili.com/24832070?from=search
【周深】【沃特艾文儿】两位神仙的合作！！！,//www.bilibili.com/video/BV1wQ4y1R771?from=search,4.9万,145,2021-06-16,Helga-佳佳佳,//space.bilibili.com/1527907348?from=search
【歌手当打之年】周深再唱《大鱼》，一开口绝美声线征服全场,//www.bilibili.com/video/BV1t741187Wk?from=search,319.0万,2.8万,2020-02-08,腾讯综艺,//space.bilibili.com/8011552?from=search
【卡布叻_周深】一期一会《未闻花名》,//www.bilibili.com/video/BV11x411v7mk?from=search,159.3万,7855,2017-05-21,卡布叻_周深,//space.bilibili.com/3404595?from=search
贝雷帽周深给毕业生清唱达拉崩吧，啊还歪头萌我一脸，太可爱啦叭ヾ(✿ﾟ▽ﾟ)ノ,//www.bilibili.com/video/BV1fM4y1M7ui?from=search,4.0万,111,2021-06-20,浅笑夕颜丽,//space.bilibili.com/396273635?from=search
Let it go 【九语男版】,//www.bilibili.com/video/BV13s411Z7kE?from=search,355.4万,3.7万,2014-02-22,卡布叻_周深,//space.bilibili.com/3404595?from=search
周深：鬼畜我吧！就没听过这种要求的,//www.bilibili.com/video/BV1g5411T7Lk?from=search,21.9万,2599,2021-06-18,木木木易520,//space.bilibili.com/75014708?from=search
【周深】616真心夜大鲸鱼的几句试麦 清唱yyds,//www.bilibili.com/video/BV1Hy4y1g7xJ?from=search,2.0万,9,2021-06-21,卡布叻_桃子同学,//space.bilibili.com/80663609?from=search
【张也X周深】《灯火里的中国》,//www.bilibili.com/video/BV1pV411Y7bT?from=search,84.5万,5201,2021-03-12,央视频,//space.bilibili.com/433587902?from=search
周深《我，江湖！》【一梦江湖三周年纪念曲】,//www.bilibili.com/video/BV1BV411q77B?from=search,128.0万,1.3万,2021-01-23,网易一梦江湖官方,//space.bilibili.com/177976892?from=search
【周深】火红的萨日朗 完整版,//www.bilibili.com/video/BV1C7411g7Hr?from=search,255.0万,7774,2020-02-15,您的脱单小助手,//space.bilibili.com/472894595?from=search
【歌手】周深唱《达尼亚》，惊喜混搭俄语歌《红莓花儿开》,//www.bilibili.com/video/BV1TE411V77q?from=search,267.3万,14.5万,2020-03-14,腾讯综艺,//space.bilibili.com/8011552?from=search
亲爱的旅人啊【千与千寻】,//www.bilibili.com/video/BV1A4411N7Kb?from=search,608.9万,4.2万,2019-06-14,卡布叻_周深,//space.bilibili.com/3404595?from=search
【周深】月光爱人丨我用所有报答爱丨大鱼 （深圳南山音乐节live高清focus）,//www.bilibili.com/video/BV1zo4y1179Q?from=search,23.2万,1764,2021-05-26,暮酒余温,//space.bilibili.com/162684301?from=search
【周深の鬼畜小剧场】停车场的啾星,//www.bilibili.com/video/BV1wy4y1h7hG?from=search,71.3万,3362,2021-03-19,项羽叻,//space.bilibili.com/321776139?from=search
周深再唱《起风了》，这两句直接唱到心里，绝了！,//www.bilibili.com/video/BV1E84y1F7dr?from=search,246.3万,2071,2021-04-24,嗑糖少女000,//space.bilibili.com/32782335?from=search
【周深&毛不易】梦幻联动！“易往情深”的合作《GOT IT》,//www.bilibili.com/video/BV1GK4y1Q7QF?from=search,101.4万,1.6万,2021-02-06,QQ音乐,//space.bilibili.com/533622509?from=search
【东京喰種/周深】神仙合唱！B站首个周深&TK合唱《unravel》版本！左右声道《Unravel》自制AMV（更新BML现场版伪合唱）,//www.bilibili.com/video/BV1HV411C7jC?from=search,214.6万,9179,2020-05-28,狂妄的鲁蛇,//space.bilibili.com/15243524?from=search
周深《请笃信一个梦》&《This Is Me》，神仙开嗓！【2020 B站跨年晚会单品】,//www.bilibili.com/video/BV1Sz4y1r7VP?from=search,431.9万,5.1万,2020-12-31,哔哩哔哩晚会,//space.bilibili.com/489412051?from=search
【周深】缘分一道桥,//www.bilibili.com/video/BV1M7411k7bH?from=search,253.9万,2.3万,2020-01-25,hikonia,//space.bilibili.com/2254270?from=search
《蒙面唱将猜猜猜》第六期 周深揭面惊艳全场！,//www.bilibili.com/video/BV1dx41147UE?from=search,543.1万,2.2万,2017-08-29,F萧木,//space.bilibili.com/32301566?from=search
【4K60帧】周深献唱《缘起》 前世深情，美轮美奂欲罢不能【BML2020单品】,//www.bilibili.com/video/BV1zK411J7nC?from=search,377.2万,2.4万,2020-07-25,BML制作指挥部,//space.bilibili.com/403748305?from=search
【创造营2021】周深首秀舞台《自己按门铃自己听》,//www.bilibili.com/video/BV1ch411y7Nw?from=search,289.7万,9348,2021-02-17,腾讯综艺,//space.bilibili.com/8011552?from=search
【周深海妖级哼唱合集】天籁到底是怎样炼成的？,//www.bilibili.com/video/BV1ho4y1k7jq?from=search,2.0万,547,2021-06-21,酷我音乐,//space.bilibili.com/1824939061?from=search
官方正式版来了！周深倾情演绎《和光同尘》,//www.bilibili.com/video/BV1yq4y1j7f5?from=search,11.3万,918,2021-06-03,中国台湾网,//space.bilibili.com/640078081?from=search
史诗级联动！萨顶顶周深共唱《左手指月》,//www.bilibili.com/video/BV19T4y1c7op?from=search,638.2万,2.4万,2020-10-01,央视新闻,//space.bilibili.com/456664753?from=search
周深《Vincent》what you tried to say to me？,//www.bilibili.com/video/BV1D64y1r7hs?from=search,11.6万,1378,2021-06-16,阿里巴巴,//space.bilibili.com/250475408?from=search
纯享版：周深《身骑白马》-蒙面唱将猜猜猜1023,//www.bilibili.com/video/BV16s411Y7zF?from=search,380.6万,9948,2016-12-05,周深的迷妹,//space.bilibili.com/41721213?from=search
【周深】开嗓唱黄梅戏，一曲《女驸马》惊呆众人！,//www.bilibili.com/video/BV1H7411k7dm?from=search,221.0万,1930,2020-01-26,周深资讯站,//space.bilibili.com/194024972?from=search
「Rubia」——《崩坏3》印象曲（演唱者：周深）,//www.bilibili.com/video/BV1Yv4y1o7dw?from=search,436.2万,1.8万,2021-01-29,崩坏3第一偶像爱酱,//space.bilibili.com/27534330?from=search
周深，一个埋伏在撒贝宁身边最大的黑粉,//www.bilibili.com/video/BV1AK4y1K7wa?from=search,135.2万,1511,2021-04-05,狗友唠嗑,//space.bilibili.com/389640553?from=search
【周深】十大开口跪高光时刻,//www.bilibili.com/video/BV1wk4y1o7iJ?from=search,58.0万,5619,2020-04-04,他们都叫我陈老师,//space.bilibili.com/376801463?from=search
【官方】周深演唱《姜子牙》片尾曲MV发布啦,//www.bilibili.com/video/BV1wJ411J7DV?from=search,403.0万,1.9万,2020-01-14,光线电影官方,//space.bilibili.com/90538663?from=search
明星第一次听周深唱歌名场面，任家萱惊的张大了嘴，孙怡当场愣住,//www.bilibili.com/video/BV15V411776n?from=search,35.0万,1134,2021-05-28,我家房子塌不了,//space.bilibili.com/1604730261?from=search
【周深】青春环游记  周深cut合集 已更完！！,//www.bilibili.com/video/BV1Jt4y1Q7rH?from=search,53.2万,1.2万,2020-07-07,盐焗小星星z,//space.bilibili.com/183962365?from=search
我和周深弟弟的再次合作——《星际列车》！,//www.bilibili.com/video/BV16v411y78K?from=search,143.5万,7243,2020-08-16,郎朗,//space.bilibili.com/479893558?from=search
【青春环游记】周深陈卓璇唱《眼泪成诗》，听觉盛宴！,//www.bilibili.com/video/BV1Cv411v7Di?from=search,98.0万,1.0万,2020-08-08,青春环游记,//space.bilibili.com/535511499?from=search
各种语言无缝切换！“语言小天才”周深上线,//www.bilibili.com/video/BV1Uy4y1J7HE?from=search,133.1万,3229,2021-03-01,央视频,//space.bilibili.com/433587902?from=search
【周深】请中心位出道吧！唱跳六国语言版主题曲太稳了！【创造营2021】,//www.bilibili.com/video/BV17K4y1S762?from=search,140.1万,3789,2021-03-27,腾讯视频官号,//space.bilibili.com/338000535?from=search
【612潮盛典】满满回忆杀！《潮·深动》周深中国动画儿歌大串烧！,//www.bilibili.com/video/BV1rb4y1d7dd?from=search,12.1万,5660,2021-06-12,百度潮盛典,//space.bilibili.com/595014228?from=search
【周深】六一儿童节福利《金钟罩铁布衫》,//www.bilibili.com/video/BV1rV411x7jm?from=search,17.4万,1756,2021-06-01,周深资讯站,//space.bilibili.com/194024972?from=search
【周深】《红玫瑰》多机位Live混剪×双语字幕丨2020国潮音乐嘉年华,//www.bilibili.com/video/BV1vK4y1h7XU?from=search,60.0万,2654,2020-10-17,周深资讯站,//space.bilibili.com/194024972?from=search
周深：“啊啊啊啊啊啊啊啊啊啊”,//www.bilibili.com/video/BV1tD4y1d7kh?from=search,36.0万,868,2020-10-14,阿宅Hsien,//space.bilibili.com/361040546?from=search
【跨舞台合唱】当林俊杰、吴青峰、周深共同演唱《起风了》网友： 该毁灭了！,//www.bilibili.com/video/BV1Uh411k7sq?from=search,331.3万,1.2万,2021-03-02,QQ音乐,//space.bilibili.com/533622509?from=search
【自存】南京大学毕业典礼上听到了周深唱的起风了QAQ,//www.bilibili.com/video/BV1jV411s76D?from=search,2.7万,34,2021-06-21,暮酒余温,//space.bilibili.com/162684301?from=search
鹅没有心 要不是nei nei 谁知道周深初舞台时候还唱了这个,//www.bilibili.com/video/BV1m5411K73L?from=search,6.5万,31,2021-06-17,沐春118,//space.bilibili.com/257451834?from=search
"全程高能""合唱版""《天下有情人》丨周华健、齐豫、李克勤、周深",//www.bilibili.com/video/BV1hX4y1A7Rw?from=search,5.1万,511,2021-06-20,酷狗音乐,//space.bilibili.com/518888859?from=search
"周深《千与千寻》主题曲 好听到爆炸【bilibili晚会单品】",//www.bilibili.com/video/BV1uJ411h7nB?from=search,1060.4万,7.9万,2019-12-31,哔哩哔哩晚会,//space.bilibili.com/489412051?from=search
【周深|reaction】太可爱啦 这才是猛男必看  德国小哥看周深唱儿歌,//www.bilibili.com/video/BV1ZM4y1M7e8?from=search,10.8万,1864,2021-06-14,德国小哥duke杜克,//space.bilibili.com/449208603?from=search
【纯享收藏级】周深《起风了》,//www.bilibili.com/video/BV1Yv411B7Kh?from=search,263.9万,7790,2020-06-27,小天才谢耳朵,//space.bilibili.com/226084148?from=search
[周深]2018年《蒙面唱将》第3季“宫廷背包客(小耳机or小汤圆)”cut,//www.bilibili.com/video/BV1Kt411S7Ru?from=search,196.0万,6.2万,2018-12-06,jyuan1104,//space.bilibili.com/237352980?from=search
没有人不想疯狂安利周深 [我们的歌]B组：那英老师安利周深，周华健和阿云嘎互相安利周深,//www.bilibili.com/video/BV1yJ411R7My?from=search,64.8万,843,2019-11-26,hikonia,//space.bilibili.com/2254270?from=search
【周深】《起风了》饭拍，这麦距它合法吗？！？！？！？！,//www.bilibili.com/video/BV18K411c7xY?from=search,67.3万,363,2021-04-25,卡布叻_桃子同学,//space.bilibili.com/80663609?from=search
周深演唱周董神曲《牛仔很忙》再现“达拉崩吧合唱团”,//www.bilibili.com/video/BV1kV411i7oL?from=search,118.2万,6637,2021-02-12,酷狗音乐,//space.bilibili.com/518888859?from=search
【周深】听哭了《遇见》2021毕业歌会超高音质,//www.bilibili.com/video/BV1z54y1G74t?from=search,7.5万,70,2021-06-20,月落南笙巷,//space.bilibili.com/244144227?from=search
【周深】《月光爱人》多机位Live混剪 × 八语字幕丨2021南山流行音乐节,//www.bilibili.com/video/BV1vw411Z7H8?from=search,10.3万,1195,2021-06-07,周深资讯站,//space.bilibili.com/194024972?from=search
2020歌手当打之年 周深cut合集 暴力硬核剪辑,//www.bilibili.com/video/BV1Fh411o75k?from=search,82.6万,3.7万,2020-08-16,WHYy歪,//space.bilibili.com/37908330?from=search
【周深】生日直播《偏爱》 啊爷青回！！,//www.bilibili.com/video/BV1G54y1k7Ad?from=search,57.3万,1396,2020-09-30,阿宅Hsien,//space.bilibili.com/361040546?from=search
